p4n_id,title,url,latitude,longitude,location_type,num_places,total_reviews,avg_rating,parking_min_eur,parking_max_eur,electricity_eur,ai_pros,ai_cons,top_languages,last_scraped
165654,(7555) Santiago do Cacém - Unnamed Road,https://park4night.com/en/place/165654,37.788288,-8.686092,Extra services,3.0,15,4.53,0.0,0.0,0.0,locals fill water (7); good water quality (5); nice place (4); picnic tables (3); calm and clean (2); good atmosphere (1); pleasant place (1); peaceful place (1); shade (1),difficult to fill (4); difficult access (3); no disposal (1); water quality uncertain (1); windy (1),Spanish (3); French (3); German (3); English (3); Catalan (2); Basque (1),2026-01-20 17:00:48.456407
381425,(A26-1) Sines - 3 Rua Interior do Porto de Pesca de Sines,https://park4night.com/en/place/381425,37.95135,-8.874523,Parking lot day/night,5.0,23,3.78,0.0,0.0,0.0,quiet night (10); great view (8); walk to town (4); cats (10); calm (4); safe night (1); good for visiting city (2); harbor view (2); nice view (1); sunrise view (1); fun to watch cats (1); lovely meal (1); beer (1); trash container (1); port view (1); friendly city (1); billard (1); bar (1),small parking spots (4); cats (10); industrial view (3); noise (2); trash (2); smelly (1); cat poo (1); no bathrooms (1); street lights (1); cars coming and going (1); loud music (1); people coming and going (1); slope (1); set back from road (1); factories (1); containers (1); unpleasant view (1); not for large campers (1); maneuver needed (1); pets caution (1); seagulls (1),English (5); French (5); German (5); Spanish (2); Dutch (1); Italian (1),2026-01-20 17:00:43.574271
482151,(7630-174) Odemira - Avenida do Sul,https://park4night.com/en/place/482151,37.572381,-8.6674,MH parking without services,5.0,26,3.5,0.0,0.0,0.0,quiet night (10); safe place (3); clean place (3); supermarket nearby (3); legal parking (2); free parking (2); calm area (2); good for rest (1); nature nearby (1); free internet (1),unsafe feeling (5); drunk people (4); no services (4); difficult parking (1); not pleasant (1); no space for kids (1),English (5); Portuguese (4); Dutch (4); French (4); Spanish (2); German (3); Italian (1),2026-01-20 17:00:35.924498
24042,(7645-243) Campiférias,https://park4night.com/en/place/24042,37.729698,-8.78315,Camping,50.0,169,3.43,14.0,21.0,3.3,location (30); cleanliness (25); staff (15); price (12); market (10); beach access (8); quiet (7); hot water (6); spacious pitches (5); shade (4),old facilities (30); no hot water (15); dogs not allowed (10); noisy (8); tight pitches (7); sandy pitches (6); unfriendly staff (5); no privacy (4); no toilet seats (3); barbecues allowed (3),Portuguese (10); French (8); English (7); German (5); Spanish (3); Dutch (2); Italian (1); Finnish (1),2026-01-20 17:00:02.028846
341152,(7520-151) Sines - 5 Rua Sacadura Cabral,https://park4night.com/en/place/341152,37.95435,-8.867431,Parking lot day/night,20.0,45,3.82,0.0,0.0,0.0,beach (15); town (11); toilets (10); view (7); safe (5); showers (5); shops (4); free (4); playground (3); restaurants (2); exercise area (1); tables (1); shade (1),noisy (23); loud (10); traffic (7); cobbled road (6); vehicles (4); dirty toilets (1); party (1),es (10); en (5); fr (7); de (6); it (2); pt (2),2026-01-20 16:59:56.499611
476938,(7630-174) Odemira - 13 Rua das Barreiras Vermelhas,https://park4night.com/en/place/476938,37.59756,-8.648049,Parking lot day/night,12.0,65,4.48,0.0,0.0,0.0,Quiet (24); Nice scenery (15); Clean toilets nearby (11); Close to town (10); River location (9); Free parking (5); Good for walking (4); Trash bins available (3),Small parking spaces (7); Toilets have limited hours (5); No services (4); Dogs barking (3); Parking is forbidden for campers (3); No water for RV (2); Can be scary when alone (2); Noisy during the day (1); Difficult access (1); Ground is soft (1),English (14); French (13); Dutch (8); German (7); Portuguese (5); Italian (3); Spanish (3); Polish (1),2026-01-20 16:59:52.292858
169931,(7540-195) Santiago do Cacém - 11 R. das Nogueiras,https://park4night.com/en/place/169931,38.011591,-8.697089,Extra services,20.0,27,4.11,0.0,0.0,0.0,free showers (15); clean facilities (10); nice place (6); hot showers (6); free parking (2); swimming pools (2); picnic area (2); quiet place (2); clean toilets (2),closed (5); cold showers (3); unfriendly staff (1); bad smell (1); dogs not allowed (1),German (9); English (6); Spanish (4); Portuguese (3); French (2); Dutch (1),2026-01-20 16:59:46.255725
113748,(7630-174) Santa Maria - Rua do Cemitério,https://park4night.com/en/place/113748,37.59444,-8.644278,MH parking without services,3.0,47,3.23,0.0,0.0,0.0,quiet night (11); allowed to stay (7); safe (5); close to town (4); calm (3); free (3); chocolate shop (2); nice town (2),sloping ground (24); not enough space (6); cars parked (4); noisy dogs (2); trash (2); tight spaces (2); access issues (2),nl (5); de (10); fr (7); en (7); pt (2); es (4); it (1),2026-01-20 16:59:42.177465
97590,(7630) Odemira - 3 Rua Do Comercio,https://park4night.com/en/place/97590,37.598017,-8.80642,Extra services,8.0,15,3.0,0.0,0.0,0.0,clean (6); free (4); shower works (3); toilet (2); paper (2),no electricity (2); no shower head (2); cold water (2); door does not lock (2); closed (1); not very clean (1); not much parking (1); lighting does not work (1); WC very dirty (1); no shower (1); shower turned off (1),English (3); Spanish (5); French (2); German (1); Portuguese (1),2026-01-20 16:59:37.248473
118590,(7630-174) Odemira - Unnamed Road,https://park4night.com/en/place/118590,37.598965,-8.630979,Parking lot day/night,10.0,25,3.92,0.0,0.0,0.0,Quiet night (10); Large parking space (8); Intermarché nearby (8); Services available (6); Flat surface (4),Noisy deliveries (4); Dirty/Trash (3); Not beautiful (3); Tight village road (1),French (7); Spanish (4); Portuguese (4); Dutch (2); German (3); Italian (2); English (1),2026-01-20 16:59:32.286480
