p4n_id,title,url,latitude,longitude,location_type,num_places,total_reviews,avg_rating,parking_min_eur,parking_max_eur,electricity_eur,review_seasonality,top_languages,ai_pros,ai_cons,last_scraped
89145,(7630) Bp petromira,https://park4night.com/en/place/89145,37.618886,-8.728706,Extra services,4,17,3.82,0.0,0.0,0.0,"{""2025-10"": 1, ""2025-09"": 1, ""2025-08"": 1, ""2025-07"": 1, ""2024-06"": 1}",es (2); de (1); fr (2),waste_disposal_functional (1); water_potable_easy_refill (1); misc_general_positive_sentiment (1),water_nonpotable_slow (1); utilities_water_nonpotable_slow (1); service_lack_of_amenities (1); misc_other_cons (1),2026-01-27 08:14:20
475330,(7500-220) Sines - Unnamed Road,https://park4night.com/en/place/475330,38.043854,-8.790332,Parking lot day/night,4,8,3.88,0.0,0.0,0.0,"{""2025-10"": 2, ""2025-03"": 1, ""2024-05"": 1, ""2024-04"": 1, ""2024-03"": 1}",de (2); fr (2); en (2),access_easy_large_vehicles (1); pitches_spacious_private (2); waste_disposal_functional (2); location_town_center_proximity (1); location_nature_trails_access (1); atmosphere_quiet_peaceful (1); terrain_level_flat (1); misc_general_positive_sentiment (1); safety_feeling_safe_community (1),noise_dogs_animals_neighbors (2); noise_events_music_parties (1); environment_industrial_area_smells (1); service_lack_of_amenities (1); misc_other_cons (1),2026-01-27 08:14:27
110836,(7520) Sines - 47 Alameda da Paz,https://park4night.com/en/place/110836,37.95872,-8.867052,Parking lot day/night,10,15,3.47,,,,"{""2025-06"": 1, ""2024-08"": 1, ""2024-07"": 1}",fr (1); es (1); de (1),location_town_center_proximity (2); location_beach_water_access (2); shade_natural_provided (1); supplies_nearby_shops_fuel (1),noise_traffic_airplane_loud (1); noise_dogs_animals_neighbors (1); noise_events_music_parties (1); environment_low_light_pollution (1); safety_feeling_safe_community (1); noise_natural_elements (1),2026-01-27 08:15:05
361231,(7520-206) Sines - Unnamed Road,https://park4night.com/en/place/361231,37.964267,-8.858753,MH parking without services,3,50,4.12,0.0,0.0,0.0,"{""2026-01"": 2, ""2025-12"": 1, ""2025-11"": 1, ""2025-10"": 1, ""2025-09"": 1, ""2025-08"": 2, ""2025-07"": 1, ""2025-06"": 2, ""2025-05"": 2, ""2025-04"": 1, ""2025-03"": 1, ""2025-02"": 3, ""2025-01"": 2, ""2024-11"": 1, ""2024-10"": 2, ""2024-09"": 1, ""2024-08"": 1, ""2024-07"": 3, ""2024-06"": 1, ""2024-05"": 1, ""2024-04"": 2, ""2024-03"": 2, ""2024-02"": 1}",en (7); fr (7); es (6); de (5); pt (3); it (2); cs (1),pitches_spacious_private (2); laundry_effective_available (7); catering_bar_restaurant_onsite (2); location_town_center_proximity (1); supplies_nearby_shops_fuel (5); safety_secure_fenced_monitored (5); pet_friendly_amenities (1); access_easy_large_vehicles (3); checkin_automated_flexible_process (1); misc_general_positive_sentiment (10); terrain_level_flat (2); atmosphere_quiet_peaceful (10); facilities_clean_modern (2); service_multilingual_human (1); waste_disposal_functional (1); utilities_reliable_electricity (1); local_product_purchase_opportunity (1); unique_vibe_creative_eco (1),noise_traffic_airplane_loud (4); noise_dogs_animals_neighbors (1); noise_events_music_parties (1); cleanliness_dirty_unkept (1); facilities_broken_outdated (1); terrain_uneven_sloping (1); terrain_muddy_dusty_flooding (1); access_difficult_narrow_steep (2); maneuvering_tight_spaces_restrictions (1); space_cramped_design_issue (1); price_expensive_overpriced (1); service_lack_of_amenities (1); checkin_rules_restrictive_slow (1); wifi_poor_unreliable_signal (1); mobile_signal_weak_dead_zone (1); safety_feeling_safe_community (1); environment_pests_insects_smells (1); environment_litter_trash_accumulation (1); utilities_electricity_tripping (1); utilities_water_nonpotable_slow (1); signage_unclear_directions (2); location_remote_isolated_far (1); rules_strict_fussy_unpleasant (1); waste_disposal_no_grey_water (1); waste_disposal_poor_design (1); social_inconsiderate_behavior (1); parking_unsuitable_large_rvs (1); terrain_sandy_stuck_risk (1); weather_wind_exposure (1); noise_natural_elements (1); misc_other_cons (3); access_long_unpaved_road (1); facilities_sanitary_limited_hours (1); status_permanently_closed_or_removed (1); access_4wd_high_clearance_required (1); water_bad_taste_chlorine (1); rules_highway_toll_time_limit (1); access_app_booking_mandatory (1); misc_general_negative_sentiment (1),2026-01-27 08:15:20
439205,(7630-174) Zambujeira do Mar - Unnamed Road,https://park4night.com/en/place/439205,37.52073,-8.788037,Extra services,0,22,4.05,,,0.0,"{""2025-09"": 1, ""2025-08"": 1, ""2025-04"": 1, ""2025-02"": 1, ""2024-09"": 3, ""2024-08"": 2, ""2024-07"": 1}",es (2); en (2); de (1); it (1); pt (1); fr (1),showers_hot_high_pressure (5); staff_friendly_helpful (4); facilities_clean_modern (3); value_affordable_fair (3); location_beach_water_access (1); misc_general_positive_sentiment (1),checkin_rules_restrictive_slow (3); access_overhead_clearance (2); facilities_broken_outdated (1); terrain_muddy_dusty_flooding (1); signage_unclear_directions (1),2026-01-27 08:15:27
113748,(7630-174) Santa Maria - Rua do Cemitério,https://park4night.com/en/place/113748,37.59444,-8.644278,MH parking without services,3,47,3.23,0.0,0.0,0.0,"{""2026-01"": 1, ""2025-07"": 1, ""2025-05"": 1, ""2024-06"": 1, ""2024-01"": 1}",nl (1); fr (2); de (1); en (1),location_town_center_proximity (1); misc_general_positive_sentiment (1); atmosphere_quiet_peaceful (1),terrain_uneven_sloping (2); space_cramped_design_issue (1); access_difficult_narrow_steep (1); safety_feeling_safe_community (1); misc_other_cons (1),2026-01-27 08:15:29
114096,(7800-326) Beja - 1 Rua Natalia Correia,https://park4night.com/en/place/114096,38.01943,-7.874778,Parking lot day/night,30,23,3.87,0.0,0.0,0.0,"{""2025-12"": 1, ""2025-10"": 1, ""2025-09"": 2, ""2025-02"": 1, ""2025-01"": 1, ""2024-12"": 2, ""2024-11"": 1, ""2024-04"": 1}",fr (4); es (3); pl (1); nl (1),atmosphere_quiet_peaceful (6); family_child_friendly_playground (1); pet_friendly_amenities (1); water_potable_easy_refill (1); scenery_natural_beauty (1); location_nature_trails_access (1); safety_feeling_safe_community (1); shade_natural_provided (1); facilities_clean_modern (1); location_town_center_proximity (1); misc_general_positive_sentiment (1),terrain_uneven_sloping (2); space_cramped_design_issue (1); access_difficult_narrow_steep (1); parking_unsuitable_large_rvs (1); service_lack_of_amenities (1),2026-01-27 08:15:41
23784,(7520-075) Campigir São Torpes,https://park4night.com/en/place/23784,37.908501,-8.79366,Camping,10,58,3.17,14.0,33.0,0.0,"{""2025-10"": 3, ""2025-09"": 1, ""2025-08"": 1, ""2025-07"": 1, ""2024-09"": 1, ""2024-08"": 1, ""2024-07"": 1, ""2024-06"": 2}",nl (2); de (3); fr (1); es (2); en (1); pt (1),atmosphere_quiet_peaceful (3); staff_friendly_helpful (4); showers_hot_high_pressure (3); location_beach_water_access (3); facilities_clean_modern (3); family_child_friendly_playground (2); catering_bar_restaurant_onsite (2); supplies_nearby_shops_fuel (1); terrain_level_flat (1); value_affordable_fair (2); checkin_automated_flexible_process (1); misc_general_positive_sentiment (1); service_multilingual_human (1); waste_disposal_functional (1); local_product_purchase_opportunity (1),facilities_broken_outdated (3); environment_pests_insects_smells (2); noise_dogs_animals_neighbors (2); terrain_uneven_sloping (2); cleanliness_dirty_unkept (2); space_cramped_design_issue (2); access_long_unpaved_road (1); service_lack_of_amenities (1); waste_disposal_poor_design (1); showers_cold_low_pressure (1); views_sunset_aesthetic (1); noise_natural_elements (1); social_exclusionary_cliquey (1); parking_unsuitable_large_rvs (1); terrain_sandy_stuck_risk (1); misc_general_negative_sentiment (1); facilities_sanitary_limited_hours (1); supplies_nearby_shops_fuel (1); catering_bar_restaurant_onsite (1),2026-01-27 08:15:46
370099,(7520) Sines - 18 Largo Ramos da Costa,https://park4night.com/en/place/370099,37.95525,-8.86465,Parking lot day/night,6,5,2.8,0.0,0.0,0.0,"{""2025-09"": 1, ""2024-07"": 1, ""2024-03"": 1}",es (2); en (1),safety_feeling_safe_community (1); pitches_spacious_private (1),noise_traffic_airplane_loud (1); noise_dogs_animals_neighbors (1); access_difficult_narrow_steep (1),2026-01-27 08:15:49
275662,(7540-205) Santiago do Cacém - 3 Rua Ramos da Costa,https://park4night.com/en/place/275662,38.014308,-8.692091,Extra services,1,9,5.0,0.0,0.0,0.0,"{""2025-10"": 1, ""2024-05"": 1, ""2024-04"": 1, ""2024-02"": 1}",de (3); nl (1),laundry_effective_available (4); facilities_clean_modern (2); family_child_friendly_playground (2); water_potable_easy_refill (1); misc_general_positive_sentiment (1),payment_issues_cash_only_friction (1); location_remote_isolated_far (1),2026-01-27 08:16:02
