p4n_id,title,url,latitude,longitude,location_type,num_places,total_reviews,avg_rating,parking_min_eur,parking_max_eur,electricity_eur,review_seasonality,top_languages,ai_pros,ai_cons,last_scraped
496539,(7630-174) Zambujeira do Mar - 22 Entrada da Barca,https://park4night.com/en/place/496539,37.549298,-8.791501,Extra services,2,5,4.0,0.0,0.0,,"{""2025-11"": 1, ""2025-10"": 1, ""2025-01"": 1, ""2024-07"": 1, ""2024-06"": 1}",de (3); fr (2),water_potable_easy_refill (4); scenery_natural_beauty (1); catering_bar_restaurant_onsite (1),utilities_water_nonpotable_slow (1); utilities_adapter_required (3),2026-01-26 17:18:24
381425,(A26-1) Sines - 3 Rua Interior do Porto de Pesca de Sines,https://park4night.com/en/place/381425,37.95135,-8.874523,Parking lot day/night,5,23,3.78,0.0,0.0,,"{""2025-09"": 1, ""2025-05"": 1, ""2025-04"": 1, ""2024-08"": 2, ""2024-07"": 3, ""2024-04"": 1, ""2024-03"": 1, ""2024-02"": 2}",fr (4); en (3); es (1); de (3); nl (2),views_sunset_aesthetic (3); atmosphere_quiet_peaceful (4); staff_friendly_helpful (1); location_town_center_proximity (2); safety_feeling_safe_community (1); local_product_purchase_opportunity (1); misc_other_pros (1),terrain_uneven_sloping (1); noise_events_music_parties (1); parking_unsuitable_large_rvs (3); views_sunset_aesthetic (1); environment_litter_trash_accumulation (1); space_cramped_design_issue (1); maneuvering_tight_spaces_restrictions (1); noise_dogs_animals_neighbors (1); cleanliness_dirty_unkept (1); misc_other_cons (1),2026-01-26 17:18:25
165654,(7555) Santiago do Cacém - Unnamed Road,https://park4night.com/en/place/165654,37.788288,-8.686092,Extra services,3,15,4.53,0.0,0.0,,"{""2025-10"": 1, ""2025-08"": 1}",de (1); es (1),water_potable_easy_refill (2); unique_vibe_creative_eco (1); family_child_friendly_playground (1); activities_onsite_yoga_pool (1); misc_other_pros (1),overcrowding_situational_busy (1); waste_disposal_poor_design (1),2026-01-26 17:18:37
428897,(7665) Monte Cruz,https://park4night.com/en/place/428897,37.559864,-8.403117,"On the farm (farm, vineyard ...)",2,7,4.43,15.0,15.0,,"{""2024-11"": 1, ""2024-04"": 2}",de (2),atmosphere_quiet_peaceful (1); scenery_natural_beauty (2); staff_friendly_helpful (1); location_nature_trails_access (1); pet_friendly_amenities (1),misc_other_cons (1); parking_unsuitable_large_rvs (1),2026-01-26 17:18:41
304594,(7630-174) São Luís - 1 N120,https://park4night.com/en/place/304594,37.712412,-8.666083,Extra services,3,15,4.93,0.0,0.0,,"{""2025-12"": 1, ""2025-09"": 1, ""2025-05"": 1, ""2025-01"": 1, ""2024-08"": 1, ""2024-03"": 1, ""2024-02"": 1}",nl (1); en (1); de (2); pl (1); fr (2),water_potable_easy_refill (7); showers_hot_high_pressure (2); misc_other_pros (2),utilities_adapter_required (1),2026-01-26 17:18:51
105888,() Camping Serro da Bica,https://park4night.com/en/place/105888,37.567928,-8.264236,Camping,25,68,4.31,14.4,24.9,0.0,"{""2025-11"": 2, ""2025-09"": 3, ""2025-06"": 2, ""2025-05"": 1, ""2025-04"": 1, ""2025-03"": 1, ""2024-09"": 1, ""2024-06"": 2, ""2024-05"": 1, ""2024-04"": 3}",nl (5); en (4); de (3); fr (3); es (2),staff_friendly_helpful (9); facilities_clean_modern (8); atmosphere_quiet_peaceful (6); pitches_spacious_private (6); showers_hot_high_pressure (2); location_nature_trails_access (2); catering_bar_restaurant_onsite (2); services_bread_delivery_onsite (1); value_affordable_fair (2); tips_local_knowledge (1); scenery_natural_beauty (1); family_child_friendly_playground (1); local_product_purchase_opportunity (1); unique_vibe_creative_eco (1); misc_other_pros (1),noise_traffic_airplane_loud (1); price_expensive_overpriced (2); payment_issues_cash_only_friction (1); checkin_rules_restrictive_slow (2); noise_natural_elements (1); shade_lack_of_exposed (1); rules_strict_fussy_unpleasant (1); noise_dogs_animals_neighbors (1); misc_other_cons (1),2026-01-26 17:18:56
476938,(7630-174) Odemira - 13 Rua das Barreiras Vermelhas,https://park4night.com/en/place/476938,37.59756,-8.648049,Parking lot day/night,12,67,4.48,0.0,0.0,0.0,"{""2026-01"": 6, ""2025-12"": 1, ""2025-11"": 4, ""2025-10"": 5, ""2025-09"": 1, ""2025-08"": 7, ""2025-07"": 4, ""2025-06"": 6, ""2025-05"": 1, ""2025-04"": 2, ""2025-03"": 2, ""2025-01"": 5, ""2024-12"": 1, ""2024-11"": 2, ""2024-10"": 1, ""2024-09"": 2, ""2024-08"": 4, ""2024-07"": 2, ""2024-05"": 2, ""2024-04"": 3, ""2024-03"": 2, ""2024-02"": 1}",nl (13); fr (13); en (7); de (6); es (4); it (3); pt (3); pl (1); cs (1),atmosphere_quiet_peaceful (34); location_nature_trails_access (10); location_town_center_proximity (10); scenery_natural_beauty (9); facilities_clean_modern (7); terrain_level_flat (5); safety_feeling_safe_community (3); municipal_support_pro (2); waste_disposal_functional (2); local_product_purchase_opportunity (1); pet_friendly_amenities (1); unique_vibe_creative_eco (1); value_affordable_fair (1); misc_other_pros (1),space_cramped_design_issue (7); maneuvering_tight_spaces_restrictions (4); noise_dogs_animals_neighbors (3); checkin_rules_restrictive_slow (3); access_difficult_narrow_steep (2); noise_events_music_parties (2); service_lack_of_amenities (2); safety_theft_risk_loitering (2); terrain_muddy_dusty_flooding (1); utilities_water_nonpotable_slow (1); waste_disposal_no_grey_water (1); social_inconsiderate_behavior (1); parking_unsuitable_large_rvs (1); weather_wind_exposure (1); misc_other_cons (1),2026-01-26 17:19:00
46361,(7670) Barragem do Monte da Rocha - N261-4,https://park4night.com/en/place/46361,37.7271,-8.28781,Parking lot day/night,10,16,3.62,0.0,0.0,,"{""2025-11"": 1, ""2025-08"": 2, ""2025-02"": 1, ""2024-12"": 1, ""2024-02"": 1}",de (3); es (1); en (1),atmosphere_quiet_peaceful (6); views_sunset_aesthetic (2); environment_low_light_pollution (1); facilities_clean_modern (1); scenery_natural_beauty (1),noise_natural_elements (1),2026-01-26 17:19:14
187368,(7520) Porto Covo - 10 Rua Carlos Tê,https://park4night.com/en/place/187368,37.854163,-8.789895,Parking lot day/night,20,172,3.59,0.0,0.0,0.0,"{""2026-01"": 1, ""2025-10"": 4, ""2025-09"": 4, ""2025-08"": 15, ""2025-07"": 5, ""2025-06"": 4, ""2025-05"": 2, ""2025-04"": 3, ""2025-03"": 3, ""2025-02"": 3, ""2025-01"": 3, ""2024-12"": 3, ""2024-11"": 3, ""2024-10"": 2, ""2024-09"": 5, ""2024-08"": 12, ""2024-07"": 4, ""2024-06"": 4, ""2024-05"": 6, ""2024-03"": 1, ""2024-02"": 2, ""2024-01"": 1}",en (17); pt (16); es (10); fr (10); de (9); it (5); nl (2); cs (1); eu (1),location_nature_trails_access (1); location_town_center_proximity (35); location_beach_water_access (26); atmosphere_quiet_peaceful (38); terrain_level_flat (16); value_affordable_fair (10); safety_feeling_safe_community (7); supplies_nearby_shops_fuel (1); misc_other_pros (1); utilities_reliable_electricity (1); connectivity_strong_wifi (1); checkin_automated_flexible_process (1); municipal_support_pro (1); waste_disposal_functional (1); pet_friendly_amenities (1),terrain_muddy_dusty_flooding (10); cleanliness_dirty_unkept (7); noise_dogs_animals_neighbors (2); noise_traffic_airplane_loud (2); space_cramped_design_issue (1); service_lack_of_amenities (14); environment_litter_trash_accumulation (2); access_difficult_narrow_steep (1); rules_strict_fussy_unpleasant (3); noise_events_music_parties (2); facilities_broken_outdated (1); terrain_sandy_stuck_risk (1); waste_disposal_no_grey_water (1); misc_other_cons (3); environment_pests_insects_smells (1); parking_unsuitable_large_rvs (1); social_inconsiderate_behavior (1); overcrowding_situational_busy (7); safety_theft_risk_loitering (2); terrain_uneven_sloping (1); shade_lack_of_exposed (1); utilities_lpg_gpl_specialist (1),2026-01-26 17:19:31
177225,(7570) Santa Margarida da Serra - Unnamed Road,https://park4night.com/en/place/177225,38.11311,-8.581369,"On the farm (farm, vineyard ...)",8,63,4.86,0.0,0.0,0.0,"{""2025-05"": 1, ""2025-02"": 1, ""2025-01"": 2, ""2024-11"": 1, ""2024-10"": 1, ""2024-08"": 1, ""2024-06"": 2, ""2024-05"": 2}",de (6); fr (2); sv (1); en (2),staff_friendly_helpful (7); views_sunset_aesthetic (5); atmosphere_quiet_peaceful (3); location_nature_trails_access (1); unique_vibe_creative_eco (2); activities_farm_eco_interaction (2); checkin_automated_flexible_process (1); scenery_natural_beauty (1); environment_low_light_pollution (1); tips_local_knowledge (1); facilities_clean_modern (1); misc_other_pros (1),access_difficult_narrow_steep (7); terrain_muddy_dusty_flooding (2); noise_dogs_animals_neighbors (1); service_lack_of_amenities (1); safety_feeling_safe_community (1); misc_other_cons (1),2026-01-26 17:19:46
